# 35636755-b091-4093-837a-e4281359638d
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.5906146; 3.9512735; 1.8677675; 0.5849963; 3.9999455; 0.6046226
0.1997958; 1.4033175; 3.8820246; 1.9818119; 0.5768351; 4.0300330; 0.5952936
0.3995916; 1.2255067; 3.7911936; 2.1039158; 0.5634302; 4.0594385; 0.6784486
0.5993875; 1.0591770; 3.6806601; 2.2075914; 0.4669638; 4.0926939; 2.1409232
0.7991833; 0.9041912; 3.5546787; 2.2975632; 0.4223598; 4.1959073; 2.5248114
0.9989791; 0.7604579; 3.4159786; 2.3780943; 0.3890663; 4.3144561; 2.7161882
1.1987749; 0.6279088; 3.2665451; 2.4529691; 0.3609466; 4.4384567; 2.8454412
1.3985707; 0.5064813; 3.1079354; 2.5226138; 0.3365601; 4.5647467; 2.9406434
1.5983666; 0.3959895; 2.9415169; 2.5876041; 0.3142682; 4.6916915; 3.0332334
1.7981624; 0.2961597; 2.7684871; 2.6482859; 0.2933658; 4.8191310; 3.1350575
1.9979582; 0.2066386; 2.5899012; 2.7048997; 0.2735067; 4.9473999; 3.2508374
2.1977540; 0.1270064; 2.4066875; 2.7576368; 0.2543039; 5.0769847; 3.3876197
2.3975498; 0.0567772; 2.2196648; 2.8064922; 0.2356887; 5.2085927; 3.5453762
2.5973457; -0.0045664; 2.0295377; 2.8519260; 0.2188581; 5.3428589; 3.6887638
2.7971415; -0.0575381; 1.8369079; 2.8939936; 0.2023810; 5.4790638; 3.8575253
2.9969373; -0.1026782; 1.6422910; 2.9328374; 0.1864790; 5.6179689; 4.0440198
3.1967331; -0.1405376; 1.4461255; 2.9685316; 0.1712017; 5.7599940; 4.2459372
3.3965289; -0.1716629; 1.2487768; 3.0013177; 0.1568879; 5.9054358; 4.4508672
3.5963248; -0.1965866; 1.0505481; 3.0312486; 0.1428143; 6.0541475; 4.6837034
3.7961206; -0.2158436; 0.8516873; 3.0584128; 0.1292272; 6.2067923; 4.9356742
3.9959164; -0.2299594; 0.6523941; 3.0829080; 0.1159651; 6.3636880; 5.2096597
4.1957122; -0.2394537; 0.4528267; 3.1047655; 0.1028716; 6.5252020; 5.2050158
4.3955081; -0.2448441; 0.2531054; 3.1240209; 0.0899113; 6.6826748; 5.2003759
4.5953039; -0.2466485; 0.0533190; 3.1406329; 0.0755809; 6.8363856; 5.1957403
4.7950997; -0.2454700; -0.1464716; -3.1296687; 0.0515041; 6.9865831; 5.1911087
4.9948955; -0.2421896; -0.3462401; -3.1210355; 0.0394750; 7.1334891; 5.1864813
5.1946913; -0.2373181; -0.5459762; -3.1134922; 0.0360598; 7.2773032; 5.1818580
5.3944872; -0.2310086; -0.7456718; -3.1066405; 0.0325644; 7.4182052; 5.1772388
5.5942830; -0.2233988; -0.9453225; -3.1004619; 0.0292280; 7.5563582; 5.1726237
5.7940788; -0.2146239; -1.1449254; -3.0949704; 0.0257588; 7.6919105; 5.1680127
5.9938746; -0.2048219; -1.3444804; -3.0901717; 0.0222803; 7.8249972; 5.1634059
6.1936704; -0.1941318; -1.5439899; -3.0860685; 0.0187920; 7.9557423; 5.1588032
6.3934663; -0.1826928; -1.7434578; -3.0826634; 0.0152929; 8.0842594; 5.1542045
6.5932621; -0.1706443; -1.9428900; -3.0799579; 0.0117650; 8.2106533; 5.1496100
6.7930579; -0.1581273; -2.1422933; -3.0779649; 0.0082361; 8.3350206; 5.1450196
6.9928537; -0.1452820; -2.3416757; -3.0766636; 0.0047522; 8.4574509; 1.8056560
7.1926495; -0.1322475; -2.5410459; -3.0760680; 0.0012118; 8.5000000; 0.0000000
7.3924454; -0.1191647; -2.7404130; -3.0761806; -0.0023405; 8.5000000; 0.0000000
7.5922412; -0.1061752; -2.9397861; -3.0770042; -0.0059064; 8.5000000; 0.0000000
7.7920370; -0.0934211; -3.1391744; -3.0785418; -0.0094883; 8.5000000; 0.0000000
7.9918328; -0.0810450; -3.3385865; -3.0807968; -0.0130885; 8.5000000; 0.0000000
8.1916286; -0.0691905; -3.5380302; -3.0837730; -0.0167092; 8.5000000; 0.0000000
8.3914245; -0.0580019; -3.7375124; -3.0874747; -0.0203545; 8.5000000; 0.0000000
8.5912203; -0.0476246; -3.9370384; -3.0919056; -0.0240496; 8.5000000; 0.0000000
8.7910161; -0.0382056; -4.1366118; -3.0970715; -0.0274348; 8.5000000; 0.0000000
8.9908119; -0.0298499; -4.3362325; -3.1022172; -0.0212119; 8.5000000; 0.0000000
9.1906077; -0.0223271; -4.5358864; -3.1052391; -0.0090120; 8.5000000; -0.9188104
9.3904036; -0.0151639; -4.7355537; -3.1058174; 0.0032283; 8.4783755; -9.0949961
9.5901994; -0.0078718; -4.9352162; -3.1039478; 0.0154912; 8.2612691; -8.3419560
9.7899952; 0.0000383; -5.1348550; -3.0996261; 0.0277725; 8.0569964; -7.6595961
9.9897910; 0.0090560; -5.3344467; -3.0928493; 0.0400681; 7.8647619; -7.0394869
10.1895868; 0.0196713; -5.5339594; -3.0836147; 0.0523737; 7.6838506; -6.4746959
10.3893827; 0.0323736; -5.7333497; -3.0719209; 0.0646761; 7.5136094; -5.9627341
10.5891785; 0.0476510; -5.9325588; -3.0577769; 0.0768959; 7.3533439; -5.4946616
10.7889743; 0.0659869; -6.1315091; -3.0411959; 0.0890790; 7.2025028; -5.0640426
10.9887701; 0.0878604; -6.3301009; -3.0221829; 0.1012421; 7.0606301; -4.6654997
11.1885659; 0.1137460; -6.5282089; -3.0007411; 0.1133936; 6.9273518; -4.2937234
11.3883618; 0.1441128; -6.7256787; -2.9768713; 0.1255499; 6.8023868; -3.9435037
11.5881576; 0.1794229; -6.9223239; -2.9505704; 0.1377330; 6.6855572; -3.6095684
11.7879534; 0.2201303; -7.1179220; -2.9218304; 0.1499717; 6.5768018; -3.2863932
11.9877492; 0.2666794; -7.3122116; -2.8906365; 0.1623031; 6.4761954; -2.9679602
12.1875450; 0.3195035; -7.5048884; -2.8569658; 0.1747745; 6.3839748; -2.6474327
12.3873409; 0.3790223; -7.6956022; -2.8207844; 0.1874469; 6.3005748; -2.3167276
12.5871367; 0.4456406; -7.8839518; -2.7820448; 0.2003989; 6.2266763; -1.9644877
12.7869325; 0.5197456; -8.0694819; -2.7406779; 0.2137668; 6.1633193; -1.5727258
12.9867283; 0.6017061; -8.2516763; -2.6965764; 0.2278120; 6.1121237; -1.1374276
13.1865242; 0.6918718; -8.4299501; -2.6496165; 0.2423858; 6.0748292; -0.6299498
13.3863200; 0.7905636; -8.6036466; -2.5996581; 0.2578811; 6.0540753; -0.0816906
13.5861158; 0.8980716; -8.7720267; -2.5465257; 0.2730809; 6.0513787; -0.0816906
13.7859116; 1.0145359; -8.9343367; -2.4921474; 0.2663617; 6.0486810; 0.1731305
13.9857074; 1.1394704; -9.0902247; -2.4402130; 0.2539434; 6.0543970; 0.6097484
14.1855033; 1.2721525; -9.2395750; -2.3906137; 0.2427053; 6.0744854; 0.9620096
14.3852991; 1.4119207; -9.3823180; -2.3431850; 0.2322243; 6.1060449; 1.2586267
14.5850949; 1.5581609; -9.5184242; -2.2977828; 0.2223934; 6.1470905; 1.5121857
14.7848907; 1.7103061; -9.6478981; -2.2542369; 0.2136630; 6.1960453; 1.7116262
14.9846865; 1.8678406; -9.7707593; -2.2123444; 0.2058250; 6.2509943; 1.8702335
15.1844824; 2.0302955; -9.8870375; -2.1719066; 0.1995521; 6.3104880; 1.9645489
15.3842782; 2.1972608; -9.9967435; -2.1324728; 0.1951817; 6.3723839; 1.9836169
15.5840740; 2.3683766; -10.0998574; -2.0939217; 0.1907329; 6.4342764; 2.0113184
15.7838698; 2.5432975; -10.1963774; -2.0562539; 0.1863445; 6.4964313; 2.0414404
15.9836656; 2.7216906; -10.2863195; -2.0194515; 0.1820799; 6.5589147; 2.0710686
16.1834615; 2.9032378; -10.3697136; -1.9834855; 0.1779757; 6.6217025; 2.0984960
16.3832573; 3.0876357; -10.4466003; -1.9483217; 0.1740421; 6.6847203; 2.1231577
16.5830531; 3.2745961; -10.5170291; -1.9139240; 0.1702499; 6.7478797; 2.1462857
16.7828489; 3.4638448; -10.5810562; -1.8802533; 0.1665134; 6.8111320; 2.1716991
16.9826447; 3.6551194; -10.6387516; -1.8473674; 0.1630510; 6.8745408; 2.1888970
17.1824406; 3.8481721; -10.6901869; -1.8150957; 0.1599486; 6.9378654; -0.0869535
17.3822364; 4.0427703; -10.7354266; -1.7834369; 0.1569305; 6.9353609; -2.5395101
17.5820322; 4.2386917; -10.7745411; -1.7523548; 0.1539622; 6.8618120; -2.8372578
17.7818280; 4.4357242; -10.8076086; -1.7218748; 0.1514515; 6.7786960; -3.1243579
17.9816238; 4.6336673; -10.8347019; -1.6918624; 0.1489703; 6.6859743; -3.4216326
18.1814197; 4.8323290; -10.8558920; -1.6623322; 0.1466427; 6.5829322; -3.7231227
18.3812155; 5.0315265; -10.8712531; -1.6332596; 0.1444443; 6.4689464; -4.0300932
18.5810113; 5.2310846; -10.8808590; -1.6045973; 0.1424378; 6.3432543; -4.3385227
18.7808071; 5.4308357; -10.8847819; -1.5763436; 0.1400056; 6.2050978; -4.6811652
18.9806029; 5.6306174; -10.8831288; -1.5487360; 0.1404530; 6.0524940; -4.5290956
19.1803988; 5.8302716; -10.8758038; -1.5188605; 0.1593374; 5.9010927; -4.1420669
19.3801946; 6.0295893; -10.8621285; -1.4850754; 0.1788461; 5.7591458; -3.8007276
19.5799904; 6.2282895; -10.8413426; -1.4474160; 0.1981065; 5.6257462; -3.4822319
19.7797862; 6.4260086; -10.8127087; -1.4058823; 0.2176405; 5.5006863; -3.1975925
19.9795820; 6.6222944; -10.7755086; -1.3604704; 0.2369599; 5.3832907; -3.0143415
20.1793779; 6.8165982; -10.7290684; -1.3113464; 0.2537368; 5.2702289; -3.0143306
20.3791737; 7.0083031; -10.6728613; -1.2594696; 0.2651344; 5.1546883; -3.0129659
